site_dir	format_name	csv_delim	csv_cols	json_kind	json_keys	parquet_schema
.git						
anime-pictures.net	anime-pictures	,	id|tag|tag_ru|tag_jp|num|num_pub|type|description_en|description_ru|description_jp|alias|parent|views	array	alias|description_en|description_jp|description_ru|id|num|num_pub|parent|tag|tag_jp|tag_ru|type|views	id:int64|tag:string|tag_ru:string|tag_jp:string|num:int64|num_pub:int64|type:int64|description_en:string|description_ru:string|description_jp:string|alias:int64|parent:int64|views:int64
booru.allthefallen.moe	booru	,	id|name|post_count|category|created_at|updated_at|is_deprecated|words	array	category|created_at|id|is_deprecated|name|post_count|updated_at|words	
chan.sankakucomplex.com	chan	,	id|name|type|post_count|pool_count|series_count|rating|version|parent_ids|child_ids|related_ids|trans_en|trans_ja|trans_ru|trans_pt|trans_zh-CN|trans_fr|trans_it|trans_ko|trans_vi|trans_zh-HK|trans_de|trans_es|trans_th	array	child_ids|id|name|parent_ids|pool_count|post_count|rating|related_ids|series_count|trans_en|trans_ja|type|version	
danbooru.donmai.us	danbooru	,	id|name|post_count|category|created_at|updated_at|is_deprecated|words	array	category|created_at|id|is_deprecated|name|post_count|updated_at|words	id:int64|name:string|post_count:int64|category:int64|created_at:timestamp[us, tz=-05:00]|updated_at:timestamp[us, tz=-04:00]|is_deprecated:bool|words:string
e621.net	e621	,	id|name|post_count|related_tags|related_tags_updated_at|category|is_locked|created_at|updated_at	array	category|created_at|id|is_locked|name|post_count|related_tags|related_tags_updated_at|updated_at	id:int64|name:string|post_count:int64|related_tags:string|related_tags_updated_at:string|category:int64|is_locked:bool|created_at:timestamp[us, tz=-05:00]|updated_at:timestamp[us, tz=-04:00]
en.pixiv.net	en	,	name|wiki_url|updated_at|views|posts|checklists|is_anime|is_manga|is_novel|is_game|is_figure|is_music|is_art|is_design|is_general|is_person|is_character|is_quote|is_event|is_doujin|trans_ja|trans_ja_wiki_url	array	checklists|is_anime|is_art|is_character|is_design|is_doujin|is_event|is_figure|is_game|is_general|is_manga|is_music|is_novel|is_person|is_quote|name|posts|updated_at|views|wiki_url	name:string|wiki_url:string|updated_at:timestamp[ns]|views:int64|posts:int64|checklists:int64|is_anime:bool|is_manga:bool|is_novel:bool|is_game:bool|is_figure:bool|is_music:bool|is_art:bool|is_design:bool|is_general:bool|is_person:bool|is_character:bool|is_quote:bool|is_event:bool|is_doujin:bool|trans_ja:string|trans_ja_wiki_url:string
gelbooru.com	gelbooru	,	name|count|type|is_ambiguous	array	count|is_ambiguous|name|type	name:string|count:int64|type:string|is_ambiguous:bool
hypnohub.net	hypnohub	,	type|count|name|ambiguous|id	array	ambiguous|count|id|name|type	type:int64|count:int64|name:string|ambiguous:bool|id:int64
konachan.com	konachan	,	id|name|count|type|ambiguous	array	ambiguous|count|id|name|type	id:int64|name:string|count:int64|type:int64|ambiguous:bool
konachan.net	konachan	,	id|name|count|type|ambiguous	array	ambiguous|count|id|name|type	id:int64|name:string|count:int64|type:int64|ambiguous:bool
lolibooru.moe	lolibooru	,	id|name|post_count|cached_related|cached_related_expires_on|tag_type|is_ambiguous	array	cached_related|cached_related_expires_on|id|is_ambiguous|name|post_count|tag_type	
pixiv.net	pixiv	,	name|wiki_url|updated_at|views|posts|checklists|is_anime|is_manga|is_novel|is_game|is_figure|is_music|is_art|is_design|is_general|is_person|is_character|is_quote|is_event|is_doujin	array	checklists|is_anime|is_art|is_character|is_design|is_doujin|is_event|is_figure|is_game|is_general|is_manga|is_music|is_novel|is_person|is_quote|name|posts|updated_at|views|wiki_url	name:string|wiki_url:string|updated_at:timestamp[ns]|views:int64|posts:int64|checklists:int64|is_anime:bool|is_manga:bool|is_novel:bool|is_game:bool|is_figure:bool|is_music:bool|is_art:bool|is_design:bool|is_general:bool|is_person:bool|is_character:bool|is_quote:bool|is_event:bool|is_doujin:bool
rule34.xxx	rule34	,	type|count|name|ambiguous|id	array	ambiguous|count|id|name|type	type:int64|count:int64|name:string|ambiguous:bool|id:int64
safebooru.donmai.us	safebooru	,	id|name|post_count|category|created_at|updated_at|is_deprecated|words	array	category|created_at|id|is_deprecated|name|post_count|updated_at|words	id:int64|name:string|post_count:int64|category:int64|created_at:timestamp[us, tz=-05:00]|updated_at:timestamp[us, tz=-04:00]|is_deprecated:bool|words:string
wallhaven.cc	wallhaven	,	name|id|category_name|category_id|posts|views|subscriptions	array	category_id|category_name|id|name|posts|subscriptions|views	name:string|id:int64|category_name:string|category_id:int64|posts:int64|views:int64|subscriptions:int64
xbooru.com	xbooru	,	type|count|name|ambiguous|id	array	ambiguous|count|id|name|type	type:int64|count:int64|name:string|ambiguous:bool|id:int64
yande.re	yande	,	id|name|count|type|ambiguous	array	ambiguous|count|id|name|type	id:int64|name:string|count:int64|type:int64|ambiguous:bool
zerochan.net	zerochan	,	tag|type|parent|total|strict|children_count|parent_count	array	children_count|parent|parent_count|strict|tag|total|type	
