site_dir	format_name	db_path	schema_sig	tables	tags_columns	index_count
anime-pictures.net	anime-pictures	C:\LoRAIro\external_sources\site_tags\anime-pictures.net\tags.sqlite	064e075251ad8b333851f0b2b2c57b31011a813c	tags	index,id,tag,tag_ru,tag_jp,num,num_pub,type,description_en,description_ru,description_jp,alias,parent,views	11
booru.allthefallen.moe	booru	C:\LoRAIro\external_sources\site_tags\booru.allthefallen.moe\tags.sqlite	4f167646818c0e5589fb47027e794c2203632a8d	tag_aliases,tags	index,id,name,post_count,category,created_at,updated_at,is_deprecated,words	11
chan.sankakucomplex.com	chan	C:\LoRAIro\external_sources\site_tags\chan.sankakucomplex.com\tags.sqlite	4540c355d3bfe7b1c16cc5c0f5efd060c326ebcf	children,parents,relations,tags	index,id,name,type,post_count,pool_count,series_count,rating,version,parent_ids,child_ids,related_ids,trans_en,trans_ja,trans_ru,trans_pt,trans_zh-CN,trans_fr,trans_it,trans_ko,trans_vi,trans_zh-HK,trans_de,trans_es,trans_th	17
danbooru.donmai.us	danbooru	C:\LoRAIro\external_sources\site_tags\danbooru.donmai.us\tags.sqlite	4f167646818c0e5589fb47027e794c2203632a8d	tag_aliases,tags	index,id,name,post_count,category,created_at,updated_at,is_deprecated,words	11
e621.net	e621	C:\LoRAIro\external_sources\site_tags\e621.net\tags.sqlite	b02dbd059f3bd06495e3ce80c63de05dc13d10e7	tag_aliases,tags	index,id,name,post_count,related_tags,related_tags_updated_at,category,is_locked,created_at,updated_at	10
en.pixiv.net	en	C:\LoRAIro\external_sources\site_tags\en.pixiv.net\tags.sqlite	599cd6a444596297c2dcbfd4b6f1b6b7b1154150	tags	index,name,wiki_url,updated_at,views,posts,checklists,is_anime,is_manga,is_novel,is_game,is_figure,is_music,is_art,is_design,is_general,is_person,is_character,is_quote,is_event,is_doujin,trans_ja,trans_ja_wiki_url	21
gelbooru.com	gelbooru	C:\LoRAIro\external_sources\site_tags\gelbooru.com\tags.sqlite	8cef464b452615fe63357def496db0a08dbcc07b	tag_aliases,tags	index,name,count,type,is_ambiguous	8
hypnohub.net	hypnohub	C:\LoRAIro\external_sources\site_tags\hypnohub.net\tags.sqlite	21db0d966809397f8cddd86e352c26f3be00e997	tag_aliases,tags	index,type,count,name,ambiguous,id	9
konachan.com	konachan	C:\LoRAIro\external_sources\site_tags\konachan.com\tags.sqlite	f808a8725d94c7dd0c00ba0f5cbacc94c8351449	tag_aliases,tags	index,id,name,count,type,ambiguous	9
konachan.net	konachan	C:\LoRAIro\external_sources\site_tags\konachan.net\tags.sqlite	f808a8725d94c7dd0c00ba0f5cbacc94c8351449	tag_aliases,tags	index,id,name,count,type,ambiguous	9
lolibooru.moe	lolibooru	C:\LoRAIro\external_sources\site_tags\lolibooru.moe\tags.sqlite	8ce58f355c9b986fe3de47ff1015f85bb9cc811d	tag_aliases,tags	index,id,name,post_count,cached_related,cached_related_expires_on,tag_type,is_ambiguous	9
pixiv.net	pixiv	C:\LoRAIro\external_sources\site_tags\pixiv.net\tags.sqlite	ea96b914699b1992297598429079e6bed2070667	tags	index,name,wiki_url,updated_at,views,posts,checklists,is_anime,is_manga,is_novel,is_game,is_figure,is_music,is_art,is_design,is_general,is_person,is_character,is_quote,is_event,is_doujin	20
rule34.xxx	rule34	C:\LoRAIro\external_sources\site_tags\rule34.xxx\tags.sqlite	21db0d966809397f8cddd86e352c26f3be00e997	tag_aliases,tags	index,type,count,name,ambiguous,id	9
safebooru.donmai.us	safebooru	C:\LoRAIro\external_sources\site_tags\safebooru.donmai.us\tags.sqlite	4f167646818c0e5589fb47027e794c2203632a8d	tag_aliases,tags	index,id,name,post_count,category,created_at,updated_at,is_deprecated,words	11
wallhaven.cc	wallhaven	C:\LoRAIro\external_sources\site_tags\wallhaven.cc\tags.sqlite	61dbb638a52fe63ad3038a840015ea944c2fa63f	tags	index,name,id,category_name,category_id,posts,views,subscriptions	8
xbooru.com	xbooru	C:\LoRAIro\external_sources\site_tags\xbooru.com\tags.sqlite	21db0d966809397f8cddd86e352c26f3be00e997	tag_aliases,tags	index,type,count,name,ambiguous,id	9
yande.re	yande	C:\LoRAIro\external_sources\site_tags\yande.re\tags.sqlite	f808a8725d94c7dd0c00ba0f5cbacc94c8351449	tag_aliases,tags	index,id,name,count,type,ambiguous	9
zerochan.net	zerochan	C:\LoRAIro\external_sources\site_tags\zerochan.net\tags.sqlite	6abcb1f22df2e9a4035928393edd3cddf6e47d28	tag_aliases,tags	index,tag,type,parent,total,strict,children_count,parent_count	11
